AsAtDate,OptionName,Type,Name,Currency,SecurityIdentifier,UnitsHeld,Address,Ownership,Value,Weighting,ActualExposure,EffectOfExposure,TotalValue,TotalWeighting,TotalActualExposure
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Cash,NATIONAL AUSTRALIA BANK LIMITED,AUD,n/a,n/a,n/a,n/a,"$658,658,173",18.05%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,AUD,n/a,n/a,n/a,n/a,"$642,470,957",17.61%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Cash,MEMBERS EQUITY BANK LTD.,AUD,n/a,n/a,n/a,n/a,"$188,180,831",5.16%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Cash,BENDIGO & ADELAIDE BANK LTD.,AUD,n/a,n/a,n/a,n/a,"$75,572,073",2.07%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Cash,IMB LTD.,AUD,n/a,n/a,n/a,n/a,"$3,553,634",0.10%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,AUD,n/a,n/a,n/a,n/a,"$12,461",0.00%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Cash,n/a,n/a,n/a,n/a,n/a,n/a,,,,,"$1,568,448,129",42.98%,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Fixed Income Internally Managed,BANK OF CHINA LTD.,n/a,n/a,n/a,n/a,n/a,"$516,540,518",14.16%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Fixed Income Internally Managed,WESTPAC BANKING CORPORATION,n/a,n/a,n/a,n/a,n/a,"$465,774,267",12.76%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Fixed Income Internally Managed,COMMONWEALTH BANK OF AUSTRALIA,n/a,n/a,n/a,n/a,n/a,"$307,270,579",8.42%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Fixed Income Internally Managed,SUNCORP GROUP LTD.,n/a,n/a,n/a,n/a,n/a,"$218,319,319",5.98%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Fixed Income Internally Managed,BENDIGO & ADELAIDE BANK LTD.,n/a,n/a,n/a,n/a,n/a,"$204,079,378",5.59%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Fixed Income Internally Managed,INDUSTRIAL & COMMERCIAL BANK OF CHINA LTD.,n/a,n/a,n/a,n/a,n/a,"$180,440,673",4.94%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Fixed Income Internally Managed,DBS BANK LTD.,n/a,n/a,n/a,n/a,n/a,"$67,175,175",1.84%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Fixed Income Internally Managed,GOLDMAN SACHS BANK USA,n/a,n/a,n/a,n/a,n/a,"$37,282,220",1.02%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Fixed Income Internally Managed,BANK OF QUEENSLAND LTD.,n/a,n/a,n/a,n/a,n/a,"$31,708,753",0.87%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Fixed Income Internally Managed,HERITAGE & PEOPLE'S CHOICE LTD.,n/a,n/a,n/a,n/a,n/a,"$18,473,174",0.51%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Fixed Income Internally Managed,NATIONAL AUSTRALIA BANK LIMITED,n/a,n/a,n/a,n/a,n/a,"$13,435,035",0.37%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Fixed Income Internally Managed,RACQ BANK,n/a,n/a,n/a,n/a,n/a,"$11,755,653",0.32%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Fixed Income Internally Managed,IMB LTD.,n/a,n/a,n/a,n/a,n/a,"$8,396,897",0.23%,,,,,
31 December 2024,Lifecycle_Cash_Pool_Superannuation,Fixed Income Internally Managed,n/a,n/a,n/a,n/a,n/a,n/a,,,,,"$2,080,651,641",57.02%,
