AsAtDate,OptionName,Type,Name,Currency,SecurityIdentifier,UnitsHeld,Address,Ownership,Value,Weighting,ActualExposure,EffectOfExposure,TotalValue,TotalWeighting,TotalActualExposure
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,AUD,n/a,n/a,n/a,n/a,"$1,290,421,405",2.02%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,USD,n/a,n/a,n/a,n/a,"$303,858,336",0.48%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,AUD,n/a,n/a,n/a,n/a,"$243,287,559",0.38%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,USD,n/a,n/a,n/a,n/a,"$202,564,819",0.32%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,AUD,n/a,n/a,n/a,n/a,"$167,914,515",0.26%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,AUD,n/a,n/a,n/a,n/a,"$129,407,203",0.20%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,JPY,n/a,n/a,n/a,n/a,"$58,630,036",0.09%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,NBN CO. LTD.,AUD,n/a,n/a,n/a,n/a,"$51,247,646",0.08%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,EUR,n/a,n/a,n/a,n/a,"$38,458,266",0.06%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,SCENTRE GROUP LTD,AUD,n/a,n/a,n/a,n/a,"$20,612,962",0.03%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,GBP,n/a,n/a,n/a,n/a,"$19,810,394",0.03%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,NATIONAL AUSTRALIA BANK LIMITED,AUD,n/a,n/a,n/a,n/a,"$16,841,065",0.03%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,PACCAR FINANCIAL PTY LTD,AUD,n/a,n/a,n/a,n/a,"$14,315,152",0.02%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,EUR,n/a,n/a,n/a,n/a,"$13,675,861",0.02%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,BENDIGO & ADELAIDE BANK LTD.,AUD,n/a,n/a,n/a,n/a,"$10,916,896",0.02%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,GPT RE LTD,AUD,n/a,n/a,n/a,n/a,"$10,596,959",0.02%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,CAD,n/a,n/a,n/a,n/a,"$10,339,298",0.02%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,JPY,n/a,n/a,n/a,n/a,"$7,998,830",0.01%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,USD,n/a,n/a,n/a,n/a,"$7,789,998",0.01%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,GBP,n/a,n/a,n/a,n/a,"$6,731,583",0.01%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",USD,n/a,n/a,n/a,n/a,"$4,704,272",0.01%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CAD,n/a,n/a,n/a,n/a,"$2,772,604",0.00%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",KRW,n/a,n/a,n/a,n/a,"$2,096,898",0.00%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,KRW,n/a,n/a,n/a,n/a,"$2,064,847",0.00%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,MEMBERS EQUITY BANK LTD.,AUD,n/a,n/a,n/a,n/a,"$2,053,747",0.00%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,HKD,n/a,n/a,n/a,n/a,"$1,971,468",0.00%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,PLN,n/a,n/a,n/a,n/a,"$1,565,601",0.00%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CNY,n/a,n/a,n/a,n/a,"$1,452,237",0.00%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,MXN,n/a,n/a,n/a,n/a,"$1,437,727",0.00%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,NZD,n/a,n/a,n/a,n/a,"$1,252,517",0.00%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,BRL,n/a,n/a,n/a,n/a,"$1,092,111",0.00%,,,,,
31 December 2024,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,SGD,n/a,n/a,n/a,n/a,"$1,088,956",0.00%,,,,,
