Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
Balanced,Cash,Australia & New Zealand Banking Group Ltd,Australia Dollar,,228864032.0,0.1,,,AustralianSuper,0.0769665622097687,,,,
Balanced,Cash,Bank of America NA,Australia Dollar,,4876457.0,0.0,,,AustralianSuper,0.0016399437158118,,,,
Balanced,Cash,Bank of America NA,United States Dollar,,386619.0,0.0,,,AustralianSuper,0.0001300192741294,,,,
Balanced,Cash,Bank of England,United States Dollar,,27013777.0,0.01,,,AustralianSuper,0.0090846846043126,,,,
Balanced,Cash,Bank of Montreal/London,United Kingdom Pound,,1337556.0,0.0,,,AustralianSuper,0.000449817676388,,,,
Balanced,Cash,Bank of Montreal/London,United States Dollar,,21623446.0,0.01,,,AustralianSuper,0.0072719259868172,,,,
Balanced,Cash,Barclays Bank PLC,Australia Dollar,,44747173.0,0.02,,,AustralianSuper,0.0150483937747622,,,,
Balanced,Cash,BNP Paribas SA,Australia Dollar,,193336893.0,0.08,,,AustralianSuper,0.0650188492813405,,,,
Balanced,Cash,BNP Paribas SA,United States Dollar,,5143986.0,0.0,,,AustralianSuper,0.0017299132371974,,,,
Balanced,Cash,BRED Banque Populaire,Euro Member Countries,,26011552.0,0.01,,,AustralianSuper,0.0087476381399268,,,,
Balanced,Cash,BRED Banque Populaire,United Kingdom Pound,,7376875.0,0.0,,,AustralianSuper,0.0024808297906819,,,,
Balanced,Cash,Citibank NA,Australia Dollar,,63265305.0,0.03,,,AustralianSuper,0.0212760082501845,,,,
Balanced,Cash,Citibank NA,United States Dollar,,912786.0,0.0,,,AustralianSuper,0.0003069682895965,,,,
Balanced,Cash,Commonwealth Bank of Australia,Australia Dollar,,1035993068.0,0.43,,,AustralianSuper,0.3484026049017226,,,,
Balanced,Cash,Commonwealth Bank of Australia,United Kingdom Pound,,4023750.0,0.0,,,AustralianSuper,0.0013531798858265,,,,
Balanced,Cash,Commonwealth Bank of Australia/London,United Kingdom Pound,,2011875.0,0.0,,,AustralianSuper,0.0006765899429132,,,,
Balanced,Cash,Cooperatieve Rabobank UA,Australia Dollar,,48103024.0,0.02,,,AustralianSuper,0.0161769604285132,,,,
Balanced,Cash,Export-Import Bank of Korea,United States Dollar,,10748370.0,0.0,,,AustralianSuper,0.0036146574934877,,,,
Balanced,Cash,Goldman Sachs International,Australia Dollar,,162234349.0,0.07,,,AustralianSuper,0.0545591196910742,,,,
Balanced,Cash,Goldman Sachs International,United States Dollar,,9381806.0,0.0,,,AustralianSuper,0.0031550844788882,,,,
Balanced,Cash,Hongkong and Shanghai Banking Corporation Ltd,Australia Dollar,,23710952.0,0.01,,,AustralianSuper,0.0079739504989619,,,,
Balanced,Cash,JP Morgan Securities LLC,Australia Dollar,,8053693.0,0.0,,,AustralianSuper,0.0027084424664111,,,,
Balanced,Cash,JP Morgan Securities LLC,Canada Dollar,,5558001.0,0.0,,,AustralianSuper,0.0018691457368384,,,,
Balanced,Cash,JP Morgan Securities LLC,Czech Republic Koruna,,383179.0,0.0,,,AustralianSuper,0.0001288624083183,,,,
Balanced,Cash,JP Morgan Securities LLC,Euro Member Countries,,32117609.0,0.01,,,AustralianSuper,0.0108010941235516,,,,
Balanced,Cash,JP Morgan Securities LLC,Japan Yen,,13259135.0,0.01,,,AustralianSuper,0.0044590232458424,,,,
Balanced,Cash,JP Morgan Securities LLC,Korea (South) Won,,1085874.0,0.0,,,AustralianSuper,0.0003651774725919,,,,
Balanced,Cash,JP Morgan Securities LLC,Mexico Peso,,1192122.0,0.0,,,AustralianSuper,0.00040090848384,,,,
Balanced,Cash,JP Morgan Securities LLC,New Zealand Dollar,,36767.0,0.0,,,AustralianSuper,1.236467595208044e-05,,,,
Balanced,Cash,JP Morgan Securities LLC,Norway Krone,,9198854.0,0.0,,,AustralianSuper,0.0030935580504392,,,,
Balanced,Cash,JP Morgan Securities LLC,Sweden Krona,,2060008.0,0.0,,,AustralianSuper,0.0006927769842166,,,,
Balanced,Cash,JP Morgan Securities LLC,Switzerland Franc,,725692.0,0.0,,,AustralianSuper,0.0002440489139994,,,,
Balanced,Cash,JP Morgan Securities LLC,United Kingdom Pound,,75146972.0,0.03,,,AustralianSuper,0.0252717914858449,,,,
Balanced,Cash,JP Morgan Securities LLC,United States Dollar,,233141500.0,0.1,,,AustralianSuper,0.0784050670025283,,,,
Balanced,Cash,JP Morgan Securities PLC,Australia Dollar,,5766741.0,0.0,,,AustralianSuper,0.0019393446232919,,,,
Balanced,Cash,JP Morgan Securities PLC,Canada Dollar,,2827906.0,0.0,,,AustralianSuper,0.0009510197000827,,,,
Balanced,Cash,JP Morgan Securities PLC,Euro Member Countries,,48629310.0,0.02,,,AustralianSuper,0.0163539494634662,,,,
Balanced,Cash,JP Morgan Securities PLC,Hong Kong Dollar,,1150760.0,0.0,,,AustralianSuper,0.0003869985176548,,,,
Balanced,Cash,JP Morgan Securities PLC,Japan Yen,,16531557.0,0.01,,,AustralianSuper,0.0055595328769915,,,,
Balanced,Cash,JP Morgan Securities PLC,Singapore Dollar,,238.0,0.0,,,AustralianSuper,8.003897181154689e-08,,,,
Balanced,Cash,JP Morgan Securities PLC,Switzerland Franc,,215107.0,0.0,,,AustralianSuper,7.234009709859838e-05,,,,
Balanced,Cash,JP Morgan Securities PLC,United Kingdom Pound,,23151673.0,0.01,,,AustralianSuper,0.007785865977467,,,,
Balanced,Cash,JP Morgan Securities PLC,United States Dollar,,283208441.0,0.12,,,AustralianSuper,0.0952424891848367,,,,
Balanced,Cash,JPMorgan Chase & Co,Australia Dollar,,7124.0,0.0,,,AustralianSuper,2.395788383132185e-06,,,,
Balanced,Cash,JPMorgan Chase & Co,Euro Member Countries,,1.0,0.0,,,AustralianSuper,3.3629820088885247e-10,,,,
Balanced,Cash,JPMorgan Chase & Co,United States Dollar,,184809.0,0.0,,,AustralianSuper,6.215093420806794e-05,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Australia Dollar,,1145891218.0,-0.48,,,AustralianSuper,0.3853611550277358,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Brazil Real,,7054203.0,0.0,,,AustralianSuper,0.0023723157776047,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Canada Dollar,,1350157.0,0.0,,,AustralianSuper,0.0004540553700174,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Chile Peso,,12754.0,0.0,,,AustralianSuper,4.289147254136424e-06,,,,
Balanced,Cash,JPMorgan Chase Bank NA,China Yuan Renminbi (offshore),,2.0,0.0,,,AustralianSuper,6.725964017777046e-10,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Colombia Peso,,25035.0,0.0,,,AustralianSuper,8.419225459252422e-06,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Czech Republic Koruna,,285546.0,0.0,,,AustralianSuper,9.602860607100828e-05,,,,
