Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
Conservative Balanced,Cash,Australia & New Zealand Banking Group Ltd,Australia Dollar,,20652562.0,0.32,,,AustralianSuper,0.203003106143635,,,,
Conservative Balanced,Cash,Bank of America NA,Australia Dollar,,83838.0,0.0,,,AustralianSuper,0.0008240805384276,,,,
Conservative Balanced,Cash,Bank of America NA,United States Dollar,,19755.0,0.0,,,AustralianSuper,0.0001941805748781,,,,
Conservative Balanced,Cash,Bank of England,United States Dollar,,666963.0,0.01,,,AustralianSuper,0.0065558723747144,,,,
Conservative Balanced,Cash,Bank of Montreal/London,United Kingdom Pound,,39770.0,0.0,,,AustralianSuper,0.0003909168039942,,,,
Conservative Balanced,Cash,Bank of Montreal/London,United States Dollar,,533877.0,0.01,,,AustralianSuper,0.0052477116058843,,,,
Conservative Balanced,Cash,Barclays Bank PLC,Australia Dollar,,2420674.0,0.04,,,AustralianSuper,0.0237938683327103,,,,
Conservative Balanced,Cash,BNP Paribas SA,Australia Dollar,,3003494.0,0.05,,,AustralianSuper,0.0295226621899874,,,,
Conservative Balanced,Cash,BNP Paribas SA,United States Dollar,,262838.0,0.0,,,AustralianSuper,0.0025835501867797,,,,
Conservative Balanced,Cash,BRED Banque Populaire,Euro Member Countries,,967689.0,0.01,,,AustralianSuper,0.0095118403605822,,,,
Conservative Balanced,Cash,BRED Banque Populaire,United Kingdom Pound,,219341.0,0.0,,,AustralianSuper,0.0021559990622301,,,,
Conservative Balanced,Cash,Citibank NA,Australia Dollar,,2341694.0,0.04,,,AustralianSuper,0.0230175392107726,,,,
Conservative Balanced,Cash,Citibank NA,United States Dollar,,46640.0,0.0,,,AustralianSuper,0.0004584450525091,,,,
Conservative Balanced,Cash,Commonwealth Bank of Australia,Australia Dollar,,57176488.0,0.88,,,AustralianSuper,0.5620128225439671,,,,
Conservative Balanced,Cash,Commonwealth Bank of Australia,United Kingdom Pound,,119641.0,0.0,,,AustralianSuper,0.0011760039564161,,,,
Conservative Balanced,Cash,Commonwealth Bank of Australia/London,United Kingdom Pound,,59820.0,0.0,,,AustralianSuper,0.0005879970634884,,,,
Conservative Balanced,Cash,Cooperatieve Rabobank UA,Australia Dollar,,1378954.0,0.02,,,AustralianSuper,0.0135543447456635,,,,
Conservative Balanced,Cash,Export-Import Bank of Korea,United States Dollar,,265374.0,0.0,,,AustralianSuper,0.0026084776450379,,,,
Conservative Balanced,Cash,Goldman Sachs International,Australia Dollar,,3982721.0,0.06,,,AustralianSuper,0.0391479146220931,,,,
Conservative Balanced,Cash,Goldman Sachs International,United States Dollar,,479375.0,0.01,,,AustralianSuper,0.0047119875009989,,,,
Conservative Balanced,Cash,Hongkong and Shanghai Banking Corporation Ltd,Australia Dollar,,1106585.0,0.02,,,AustralianSuper,0.0108771101721885,,,,
Conservative Balanced,Cash,JP Morgan Securities LLC,Australia Dollar,,448419.0,-0.01,,,AustralianSuper,0.0044077073756671,,,,
Conservative Balanced,Cash,JP Morgan Securities LLC,Canada Dollar,,125789.0,0.0,,,AustralianSuper,0.0012364353497014,,,,
Conservative Balanced,Cash,JP Morgan Securities LLC,Czech Republic Koruna,,19579.0,0.0,,,AustralianSuper,0.0001924505935479,,,,
Conservative Balanced,Cash,JP Morgan Securities LLC,Euro Member Countries,,1745742.0,0.03,,,AustralianSuper,0.0171596651556064,,,,
Conservative Balanced,Cash,JP Morgan Securities LLC,Japan Yen,,664866.0,0.01,,,AustralianSuper,0.0065352600403424,,,,
Conservative Balanced,Cash,JP Morgan Securities LLC,Korea (South) Won,,55484.0,0.0,,,AustralianSuper,0.0005453766143529,,,,
Conservative Balanced,Cash,JP Morgan Securities LLC,Mexico Peso,,25459.0,0.0,,,AustralianSuper,0.0002502476970804,,,,
Conservative Balanced,Cash,JP Morgan Securities LLC,New Zealand Dollar,,1879.0,0.0,,,AustralianSuper,1.846951658800929e-05,,,,
Conservative Balanced,Cash,JP Morgan Securities LLC,Norway Krone,,69806.0,0.0,,,AustralianSuper,0.0006861538450998,,,,
Conservative Balanced,Cash,JP Morgan Securities LLC,Sweden Krona,,78168.0,0.0,,,AustralianSuper,0.0007683476171641,,,,
Conservative Balanced,Cash,JP Morgan Securities LLC,United Kingdom Pound,,3499936.0,0.05,,,AustralianSuper,0.0344024087328211,,,,
Conservative Balanced,Cash,JP Morgan Securities LLC,United States Dollar,,10115136.0,0.16,,,AustralianSuper,0.0994261160947152,,,,
Conservative Balanced,Cash,JP Morgan Securities PLC,Australia Dollar,,1704409.0,-0.03,,,AustralianSuper,0.0167533849378671,,,,
Conservative Balanced,Cash,JP Morgan Securities PLC,Canada Dollar,,212768.0,0.0,,,AustralianSuper,0.0020913901572099,,,,
Conservative Balanced,Cash,JP Morgan Securities PLC,Euro Member Countries,,2167296.0,0.03,,,AustralianSuper,0.0213033046424301,,,,
Conservative Balanced,Cash,JP Morgan Securities PLC,Hong Kong Dollar,,24577.0,0.0,,,AustralianSuper,0.0002415781315505,,,,
Conservative Balanced,Cash,JP Morgan Securities PLC,Japan Yen,,396868.0,0.01,,,AustralianSuper,0.003900989946381,,,,
Conservative Balanced,Cash,JP Morgan Securities PLC,Singapore Dollar,,5.0,0.0,,,AustralianSuper,4.9147196881344564e-08,,,,
Conservative Balanced,Cash,JP Morgan Securities PLC,Switzerland Franc,,6398.0,0.0,,,AustralianSuper,6.28887531293685e-05,,,,
Conservative Balanced,Cash,JP Morgan Securities PLC,United Kingdom Pound,,1121161.0,0.02,,,AustralianSuper,0.011020384080537,,,,
Conservative Balanced,Cash,JP Morgan Securities PLC,United States Dollar,,10128802.0,0.16,,,AustralianSuper,0.0995604452132313,,,,
Conservative Balanced,Cash,JPMorgan Chase & Co,Australia Dollar,,364.0,0.0,,,AustralianSuper,3.577915932961885e-06,,,,
Conservative Balanced,Cash,JPMorgan Chase & Co,United States Dollar,,9443.0,0.0,,,AustralianSuper,9.281939603010736e-05,,,,
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Australia Dollar,,30906885.0,-0.47,,,AustralianSuper,0.303797352416815,,,,
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Brazil Real,,150661.0,0.0,,,AustralianSuper,0.001480913165868,,,,
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Canada Dollar,,95127.0,0.0,,,AustralianSuper,0.0009350450795463,,,,
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Chile Peso,,272.0,0.0,,,AustralianSuper,2.6736075103451444e-06,,,,
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Colombia Peso,,539.0,0.0,,,AustralianSuper,5.298067823808944e-06,,,,
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Czech Republic Koruna,,14519.0,0.0,,,AustralianSuper,0.000142713630304,,,,
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Denmark Krone,,1814152.0,0.03,,,AustralianSuper,0.017832097103337,,,,
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Euro Member Countries,,3184401.0,0.05,,,AustralianSuper,0.0313008765792301,,,,
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Hong Kong Dollar,,30404.0,0.0,,,AustralianSuper,0.000298854274796,,,,
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Hungary Forint,,1309.0,0.0,,,AustralianSuper,1.286673614353601e-05,,,,
