Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
High Growth,Cash,Australia & New Zealand Banking Group Ltd,Australia Dollar,,64982024.0,0.17,,,AustralianSuper,0.1572755723980069,,,,
High Growth,Cash,Bank of America NA,Australia Dollar,,1088651.0,0.0,,,AustralianSuper,0.0026348549741488,,,,
High Growth,Cash,Bank of America NA,United States Dollar,,9388.0,0.0,,,AustralianSuper,2.2721715680516337e-05,,,,
High Growth,Cash,Bank of England,United States Dollar,,4384683.0,0.01,,,AustralianSuper,0.0106122199057513,,,,
High Growth,Cash,Bank of Montreal/London,United Kingdom Pound,,195535.0,0.0,,,AustralianSuper,0.0004732520958233,,,,
High Growth,Cash,Bank of Montreal/London,United States Dollar,,3509763.0,0.01,,,AustralianSuper,0.0084946566885381,,,,
High Growth,Cash,Barclays Bank PLC,Australia Dollar,,331061.0,0.0,,,AustralianSuper,0.0008012647970715,,,,
High Growth,Cash,BNP Paribas SA,Australia Dollar,,24097738.0,0.06,,,AustralianSuper,0.0583235994226219,,,,
High Growth,Cash,BNP Paribas SA,United States Dollar,,124905.0,0.0,,,AustralianSuper,0.0003023067636424,,,,
High Growth,Cash,BRED Banque Populaire,Euro Member Countries,,2279471.0,0.01,,,AustralianSuper,0.0055169889181915,,,,
High Growth,Cash,BRED Banque Populaire,United Kingdom Pound,,1078411.0,0.0,,,AustralianSuper,0.0026100711683789,,,,
High Growth,Cash,Citibank NA,Australia Dollar,,5118151.0,0.01,,,AustralianSuper,0.0123874277622443,,,,
High Growth,Cash,Citibank NA,United States Dollar,,22164.0,0.0,,,AustralianSuper,5.364338584820665e-05,,,,
High Growth,Cash,Commonwealth Bank of Australia,Australia Dollar,,204748026.0,0.53,,,AustralianSuper,0.4955503230633752,,,,
High Growth,Cash,Commonwealth Bank of Australia,United Kingdom Pound,,588224.0,0.0,,,AustralianSuper,0.0014236747426987,,,,
High Growth,Cash,Commonwealth Bank of Australia/London,United Kingdom Pound,,294112.0,0.0,,,AustralianSuper,0.0007118373713493,,,,
High Growth,Cash,Cooperatieve Rabobank UA,Australia Dollar,,5847671.0,0.02,,,AustralianSuper,0.0141530802998722,,,,
High Growth,Cash,Export-Import Bank of Korea,United States Dollar,,1744599.0,0.0,,,AustralianSuper,0.0042224416760239,,,,
High Growth,Cash,Goldman Sachs International,Australia Dollar,,19923420.0,0.05,,,AustralianSuper,0.0482205245657768,,,,
High Growth,Cash,Goldman Sachs International,United States Dollar,,227806.0,0.0,,,AustralianSuper,0.0005513573884017,,,,
High Growth,Cash,Hongkong and Shanghai Banking Corporation Ltd,Australia Dollar,,1803002.0,0.0,,,AustralianSuper,0.0043637940791864,,,,
High Growth,Cash,JP Morgan Securities LLC,Australia Dollar,,226887.0,0.0,,,AustralianSuper,0.0005491331386456,,,,
High Growth,Cash,JP Morgan Securities LLC,Canada Dollar,,228885.0,0.0,,,AustralianSuper,0.000553968885123,,,,
High Growth,Cash,JP Morgan Securities LLC,Czech Republic Koruna,,9304.0,0.0,,,AustralianSuper,2.2518411023809545e-05,,,,
High Growth,Cash,JP Morgan Securities LLC,Euro Member Countries,,829601.0,0.0,,,AustralianSuper,0.0020078779346263,,,,
High Growth,Cash,JP Morgan Securities LLC,Japan Yen,,315954.0,0.0,,,AustralianSuper,0.0007647014226802,,,,
High Growth,Cash,JP Morgan Securities LLC,Korea (South) Won,,26367.0,0.0,,,AustralianSuper,6.381587956414298e-05,,,,
High Growth,Cash,JP Morgan Securities LLC,Mexico Peso,,50558.0,0.0,,,AustralianSuper,0.0001223652004021,,,,
High Growth,Cash,JP Morgan Securities LLC,New Zealand Dollar,,893.0,0.0,,,AustralianSuper,2.161322124275787e-06,,,,
High Growth,Cash,JP Morgan Securities LLC,Norway Krone,,33173.0,0.0,,,AustralianSuper,8.028839734445766e-05,,,,
High Growth,Cash,JP Morgan Securities LLC,Sweden Krona,,37146.0,0.0,,,AustralianSuper,8.990422354798252e-05,,,,
High Growth,Cash,JP Morgan Securities LLC,United Kingdom Pound,,1663219.0,0.0,,,AustralianSuper,0.0040254781883716,,,,
High Growth,Cash,JP Morgan Securities LLC,United States Dollar,,6235556.0,0.02,,,AustralianSuper,0.0150918758566188,,,,
