Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARYO,Conservative Balanced,Cash,,,Australia & New Zealand Banking Group Ltd,Name of Institution,Australia Dollar,,,,,,,20652562.0,0.32,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Bank of America NA,Name of Institution,Australia Dollar,,,,,,,-83838.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Bank of America NA,Name of Institution,United States Dollar,,,,,,,19755.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Bank of England,Name of Institution,United States Dollar,,,,,,,666963.0,0.01,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Bank of Montreal/London,Name of Institution,United Kingdom Pound,,,,,,,39770.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Bank of Montreal/London,Name of Institution,United States Dollar,,,,,,,533877.0,0.01,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Barclays Bank PLC,Name of Institution,Australia Dollar,,,,,,,2420674.0,0.04,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,BNP Paribas SA,Name of Institution,Australia Dollar,,,,,,,3003494.0,0.05,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,BNP Paribas SA,Name of Institution,United States Dollar,,,,,,,262838.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,BRED Banque Populaire,Name of Institution,Euro Member Countries,,,,,,,967689.0,0.01,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,BRED Banque Populaire,Name of Institution,United Kingdom Pound,,,,,,,219341.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Citibank NA,Name of Institution,Australia Dollar,,,,,,,2341694.0,0.04,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Citibank NA,Name of Institution,United States Dollar,,,,,,,46640.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Commonwealth Bank of Australia,Name of Institution,Australia Dollar,,,,,,,57176488.0,0.88,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Commonwealth Bank of Australia,Name of Institution,United Kingdom Pound,,,,,,,119641.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Commonwealth Bank of Australia/London,Name of Institution,United Kingdom Pound,,,,,,,59820.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Cooperatieve Rabobank UA,Name of Institution,Australia Dollar,,,,,,,1378954.0,0.02,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Export-Import Bank of Korea,Name of Institution,United States Dollar,,,,,,,265374.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Goldman Sachs International,Name of Institution,Australia Dollar,,,,,,,3982721.0,0.06,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Goldman Sachs International,Name of Institution,United States Dollar,,,,,,,479375.0,0.01,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Hongkong and Shanghai Banking Corporation Ltd,Name of Institution,Australia Dollar,,,,,,,1106585.0,0.02,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Australia Dollar,,,,,,,-448419.0,-0.01,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Canada Dollar,,,,,,,-125789.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Czech Republic Koruna,,,,,,,19579.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Euro Member Countries,,,,,,,1745742.0,0.03,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Japan Yen,,,,,,,664866.0,0.01,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Korea (South) Won,,,,,,,-55484.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Mexico Peso,,,,,,,-25459.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,New Zealand Dollar,,,,,,,1879.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Norway Krone,,,,,,,69806.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Sweden Krona,,,,,,,78168.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,United Kingdom Pound,,,,,,,3499936.0,0.05,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,United States Dollar,,,,,,,10115136.0,0.16,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Australia Dollar,,,,,,,-1704409.0,-0.03,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Canada Dollar,,,,,,,-212768.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Euro Member Countries,,,,,,,2167296.0,0.03,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Hong Kong Dollar,,,,,,,24577.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Japan Yen,,,,,,,396868.0,0.01,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Singapore Dollar,,,,,,,5.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Switzerland Franc,,,,,,,-6398.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,United Kingdom Pound,,,,,,,1121161.0,0.02,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,United States Dollar,,,,,,,10128802.0,0.16,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JPMorgan Chase & Co,Name of Institution,Australia Dollar,,,,,,,-364.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JPMorgan Chase & Co,Name of Institution,United States Dollar,,,,,,,-9443.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Australia Dollar,,,,,,,-30906885.0,-0.47,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Brazil Real,,,,,,,150661.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Canada Dollar,,,,,,,95127.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Chile Peso,,,,,,,272.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Colombia Peso,,,,,,,539.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Czech Republic Koruna,,,,,,,14519.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Denmark Krone,,,,,,,1814152.0,0.03,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Euro Member Countries,,,,,,,3184401.0,0.05,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Hong Kong Dollar,,,,,,,30404.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Hungary Forint,,,,,,,1309.0,0.0,,,,,,,nan,nan
