Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARHG,High Growth,Cash,,,Australia & New Zealand Banking Group Ltd,Name of Institution,Australia Dollar,,,,,,,64982024.0,0.17,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Bank of America NA,Name of Institution,Australia Dollar,,,,,,,-1088651.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Bank of America NA,Name of Institution,United States Dollar,,,,,,,9388.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Bank of England,Name of Institution,United States Dollar,,,,,,,4384683.0,0.01,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Bank of Montreal/London,Name of Institution,United Kingdom Pound,,,,,,,195535.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Bank of Montreal/London,Name of Institution,United States Dollar,,,,,,,3509763.0,0.01,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Barclays Bank PLC,Name of Institution,Australia Dollar,,,,,,,331061.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,BNP Paribas SA,Name of Institution,Australia Dollar,,,,,,,24097738.0,0.06,,,,,,,nan,nan
ARHG,High Growth,Cash,,,BNP Paribas SA,Name of Institution,United States Dollar,,,,,,,124905.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,BRED Banque Populaire,Name of Institution,Euro Member Countries,,,,,,,2279471.0,0.01,,,,,,,nan,nan
ARHG,High Growth,Cash,,,BRED Banque Populaire,Name of Institution,United Kingdom Pound,,,,,,,1078411.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Citibank NA,Name of Institution,Australia Dollar,,,,,,,5118151.0,0.01,,,,,,,nan,nan
