Effective Date,Option,Asset Class,Internal/External,Name/kind of investment item,Units,Value (AUD),Weighting,% Ownership / Property Held,Currency,Security Identifier
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,1449.777974,0.0000005,,AED,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,1336.794163,0.00000046,,ARS,
31/12/2024,Conservative,Cash,,Australia Government Bond,,12287259.8,0.00424528,,AUD,
31/12/2024,Conservative,Cash,,Australia & New Zealand Banking Group Ltd,,69395170.93,0.02397621,,AUD,
31/12/2024,Conservative,Cash,,Bank of America Corp,,-230260.0441,-0.00007956,,AUD,
31/12/2024,Conservative,Cash,,Bank of Nova Scotia/Australia,,3469241.538,0.00119863,,AUD,
31/12/2024,Conservative,Cash,,Bank of Queensland Ltd,,504253.582,0.00017422,,AUD,
31/12/2024,Conservative,Cash,,Barclays Bank PLC,,-418073.218,-0.00014445,,AUD,
31/12/2024,Conservative,Cash,,Bendigo & Adelaide Bank Ltd,,7952770.387,0.0027477,,AUD,
31/12/2024,Conservative,Cash,,Canadian Imperial Bank of Commerce/Sydney,,494601.9279,0.00017089,,AUD,
31/12/2024,Conservative,Cash,,Citigroup Inc,,439862.938,0.00015197,,AUD,
31/12/2024,Conservative,Cash,,Commonwealth Bank of Australia,,95069763.29,0.03284685,,AUD,
31/12/2024,Conservative,Cash,,Cooperatieve Rabobank UA/Australia,,24117628.16,0.0083327,,AUD,
31/12/2024,Conservative,Cash,,Credit Union Australia Ltd,,13111735.11,0.00453014,,AUD,
31/12/2024,Conservative,Cash,,DBS Bank Ltd/Australia,,1237252.702,0.00042747,,AUD,
31/12/2024,Conservative,Cash,,Defence Bank Ltd,,12031225.17,0.00415682,,AUD,
31/12/2024,Conservative,Cash,,Goldman Sachs Group Inc/The,,-179394.7215,-0.00006198,,AUD,
31/12/2024,Conservative,Cash,,Great Southern Bank,,7866850.973,0.00271802,,AUD,
31/12/2024,Conservative,Cash,,Heritage and People's Choice Ltd,,2368073.911,0.00081818,,AUD,
31/12/2024,Conservative,Cash,,HSBC Holdings PLC,,-120675.1129,-0.00004169,,AUD,
31/12/2024,Conservative,Cash,,IMB Ltd,,10671492.16,0.00368703,,AUD,
31/12/2024,Conservative,Cash,,ING Bank Australia Ltd,,498767.3629,0.00017233,,AUD,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,20029663.48,0.0069203,,AUD,
31/12/2024,Conservative,Cash,,Macquarie Bank Ltd,,2817877.042,0.00097358,,AUD,
31/12/2024,Conservative,Cash,,Macquarie Group Ltd,,1332327.285,0.00046032,,AUD,
31/12/2024,Conservative,Cash,,Merrill Lynch & Co,,-13908.88477,-0.00000481,,AUD,
31/12/2024,Conservative,Cash,,Mitsubishi UFJ Financial Group Inc,,1195599.04,0.00041308,,AUD,
31/12/2024,Conservative,Cash,,Mizuho Bank Ltd/Sydney,,1295214.392,0.0004475,,AUD,
31/12/2024,Conservative,Cash,,MUFG Bank Ltd/Sydney,,229479.5191,0.00007929,,AUD,
31/12/2024,Conservative,Cash,,National Australia Bank Ltd,,88030034.2,0.03041461,,AUD,
31/12/2024,Conservative,Cash,,NBN Co Ltd,,225450.4775,0.00007789,,AUD,
31/12/2024,Conservative,Cash,,Newcastle Greater Mutual Group Ltd,,497350.8457,0.00017184,,AUD,
31/12/2024,Conservative,Cash,,Norfina Ltd,,5561044.515,0.00192136,,AUD,
31/12/2024,Conservative,Cash,,Oversea-Chinese Banking Corp Ltd,,371175.8105,0.00012824,,AUD,
31/12/2024,Conservative,Cash,,Police & Nurses Ltd,,18266846.54,0.00631124,,AUD,
31/12/2024,Conservative,Cash,,Royal Bank of Canada,,3554.705659,0.00000123,,AUD,
31/12/2024,Conservative,Cash,,Standard Chartered PLC,,1113527.431,0.00038473,,AUD,
31/12/2024,Conservative,Cash,,State Street Corp,,-18989.43528,-0.00000656,,AUD,
31/12/2024,Conservative,Cash,,Sumitomo Mitsui Banking Corp/Sydney,,9964575.794,0.00344279,,AUD,
31/12/2024,Conservative,Cash,,Suncorp Bank,,3093131.754,0.00106869,,AUD,
31/12/2024,Conservative,Cash,,Teachers Mutual Bank Ltd,,12964146.39,0.00447915,,AUD,
31/12/2024,Conservative,Cash,,UBS AG/Australia,,4445396.535,0.0015359,,AUD,
31/12/2024,Conservative,Cash,,UBS Group AG,,-14831.16005,-0.00000512,,AUD,
31/12/2024,Conservative,Cash,,United Overseas Bank Ltd/Sydney,,1241707.753,0.00042901,,AUD,
31/12/2024,Conservative,Cash,,Warburg Dillon,,34698.88094,0.00001199,,AUD,
31/12/2024,Conservative,Cash,,Westpac Banking Corp,,95242154.17,0.03290641,,AUD,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,26528.4636,0.00000917,,BRL,
31/12/2024,Conservative,Cash,,Barclays Bank PLC,,107265.9701,0.00003706,,CAD,
31/12/2024,Conservative,Cash,,Citigroup Inc,,-25754.73258,-0.0000089,,CAD,
31/12/2024,Conservative,Cash,,Goldman Sachs Group Inc/The,,-39824.89948,-0.00001376,,CAD,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,193235.2786,0.00006676,,CAD,
31/12/2024,Conservative,Cash,,Merrill Lynch & Co,,-3348.283964,-0.00000116,,CAD,
31/12/2024,Conservative,Cash,,Barclays Bank PLC,,6051.182928,0.00000209,,CHF,
31/12/2024,Conservative,Cash,,CIT Bank,,0.23967,0,,CHF,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,221890.7014,0.00007666,,CHF,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,42.763493,0.00000001,,CLP,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,-0.000137,0,,CNH,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,1544.009111,0.00000053,,CNY,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,226.276841,0.00000008,,COP,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,1182.374372,0.00000041,,CZK,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,23493.76754,0.00000812,,DKK,
31/12/2024,Conservative,Cash,,Barclays Bank PLC,,1899924.702,0.00065643,,EUR,
31/12/2024,Conservative,Cash,,Citigroup Inc,,-150150.8105,-0.00005188,,EUR,
31/12/2024,Conservative,Cash,,Credit Suisse Group AG,,0.002541,0,,EUR,
31/12/2024,Conservative,Cash,,Goldman Sachs Group Inc/The,,400460.0645,0.00013836,,EUR,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,3206083.273,0.00110771,,EUR,
31/12/2024,Conservative,Cash,,Merrill Lynch & Co,,-7660.458559,-0.00000265,,EUR,
31/12/2024,Conservative,Cash,,Warburg Dillon,,1898.294239,0.00000066,,EUR,
31/12/2024,Conservative,Cash,,Barclays Bank PLC,,165411.5419,0.00005715,,GBP,
31/12/2024,Conservative,Cash,,Citigroup Inc,,74283.30556,0.00002567,,GBP,
31/12/2024,Conservative,Cash,,Goldman Sachs Group Inc/The,,146394.8468,0.00005058,,GBP,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,620695.447,0.00021445,,GBP,
31/12/2024,Conservative,Cash,,Merrill Lynch & Co,,123.16187,0.00000004,,GBP,
31/12/2024,Conservative,Cash,,Warburg Dillon,,952.198102,0.00000033,,GBP,
31/12/2024,Conservative,Cash,,Goldman Sachs Group Inc/The,,0.008469,0,,HKD,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,22113.51599,0.00000764,,HKD,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,646.892225,0.00000022,,HUF,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,5735.1925,0.00000198,,IDR,
31/12/2024,Conservative,Cash,,Barclays Bank PLC,,164.746398,0.00000006,,ILS,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,13429.14039,0.00000464,,ILS,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,215.80483,0.00000007,,INR,
31/12/2024,Conservative,Cash,,Barclays Bank PLC,,145059.3349,0.00005012,,JPY,
31/12/2024,Conservative,Cash,,Citigroup Inc,,-56296.36598,-0.00001945,,JPY,
31/12/2024,Conservative,Cash,,Goldman Sachs Group Inc/The,,-44734.6959,-0.00001546,,JPY,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,271864.3712,0.00009393,,JPY,
31/12/2024,Conservative,Cash,,Merrill Lynch & Co,,647.614787,0.00000022,,JPY,
31/12/2024,Conservative,Cash,,Warburg Dillon,,465.144362,0.00000016,,JPY,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,545687.8096,0.00018854,,KRW,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,0.468108,0,,KWD,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,676.405609,0.00000023,,MXN,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,3769.554762,0.0000013,,MYR,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,10042.09965,0.00000347,,NOK,
31/12/2024,Conservative,Cash,,Barclays Bank PLC,,-27314.3571,-0.00000944,,NZD,
31/12/2024,Conservative,Cash,,Goldman Sachs Group Inc/The,,2.188346,0,,NZD,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,243413.7029,0.0000841,,NZD,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,123.612909,0.00000004,,PHP,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,2040.856568,0.00000071,,PLN,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,1608.486543,0.00000056,,QAR,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,16342.55539,0.00000565,,RON,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,0.008069,0,,RUB,
31/12/2024,Conservative,Cash,,Barclays Bank PLC,,129.998493,0.00000004,,SEK,
31/12/2024,Conservative,Cash,,Goldman Sachs Group Inc/The,,0.001694,0,,SEK,
31/12/2024,Conservative,Cash,,JPMorgan Chase & Co,,13901.99454,0.0000048,,SEK,
31/12/2024,Conservative,Cash,,Barclays Bank PLC,,25690.79789,0.00000888,,SGD,
