Effective Date,Option,Asset Class,Internal/External,Name/kind of investment item,Units,Value (AUD),Weighting,% Ownership / Property Held,Currency,Security Identifier
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,5411.648585,0.00000146,,AED,
31/12/2024,High Growth,Cash,,Australia Government Bond,,19296103.8,0.00522075,,AUD,
31/12/2024,High Growth,Cash,,Australia & New Zealand Banking Group Ltd,,17975718.68,0.00486351,,AUD,
31/12/2024,High Growth,Cash,,Bank of America Corp,,-361603.9527,-0.00009784,,AUD,
31/12/2024,High Growth,Cash,,Bank of Nova Scotia/Australia,,5690363.478,0.00153958,,AUD,
31/12/2024,High Growth,Cash,,Bank of Queensland Ltd,,791887.6637,0.00021425,,AUD,
31/12/2024,High Growth,Cash,,Bendigo & Adelaide Bank Ltd,,6644036.654,0.00179761,,AUD,
31/12/2024,High Growth,Cash,,Canadian Imperial Bank of Commerce/Sydney,,776730.5561,0.00021015,,AUD,
31/12/2024,High Growth,Cash,,Citigroup Inc,,777625.4903,0.00021039,,AUD,
31/12/2024,High Growth,Cash,,Commonwealth Bank of Australia,,38601129.55,0.01044392,,AUD,
31/12/2024,High Growth,Cash,,Cooperatieve Rabobank UA/Australia,,9834340.342,0.00266078,,AUD,
31/12/2024,High Growth,Cash,,Credit Union Australia Ltd,,6409051.436,0.00173403,,AUD,
31/12/2024,High Growth,Cash,,DBS Bank Ltd/Australia,,2077563.452,0.00056211,,AUD,
31/12/2024,High Growth,Cash,,Defence Bank Ltd,,1166325.011,0.00031556,,AUD,
31/12/2024,High Growth,Cash,,Goldman Sachs Group Inc/The,,-22106.79187,-0.00000598,,AUD,
31/12/2024,High Growth,Cash,,Heritage and People's Choice Ltd,,590965.7156,0.00015989,,AUD,
31/12/2024,High Growth,Cash,,HSBC Holdings PLC,,-607135.1193,-0.00016427,,AUD,
31/12/2024,High Growth,Cash,,IMB Ltd,,585975.7283,0.00015854,,AUD,
31/12/2024,High Growth,Cash,,ING Bank Australia Ltd,,783272.02,0.00021192,,AUD,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,30005949.83,0.00811841,,AUD,
31/12/2024,High Growth,Cash,,Macquarie Bank Ltd,,4425237.91,0.00119729,,AUD,
31/12/2024,High Growth,Cash,,Macquarie Group Ltd,,88070.70662,0.00002383,,AUD,
31/12/2024,High Growth,Cash,,Mitsubishi UFJ Financial Group Inc,,1877587.318,0.000508,,AUD,
31/12/2024,High Growth,Cash,,Mizuho Bank Ltd/Sydney,,2034024.815,0.00055033,,AUD,
31/12/2024,High Growth,Cash,,MUFG Bank Ltd/Sydney,,360378.204,0.0000975,,AUD,
31/12/2024,High Growth,Cash,,National Australia Bank Ltd,,41476118.61,0.01122178,,AUD,
