Effective Date,Option,Asset Class,Internal/External,Name/kind of investment item,Units,Value (AUD),Weighting,% Ownership / Property Held,Currency,Security Identifier
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,48986.21679,0.00010583,,AED,
31/12/2024,Indexed Balanced Growth,Cash,,Australia Government Bond,,2007011.456,0.00433589,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Australia & New Zealand Banking Group Ltd,,1773982.771,0.00383246,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Bank of America Corp,,-37610.87124,-0.00008125,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Bank of Nova Scotia/Australia,,548799.4816,0.00118561,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Bank of Queensland Ltd,,82365.2085,0.00017794,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Bendigo & Adelaide Bank Ltd,,691054.4126,0.00149293,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Canadian Imperial Bank of Commerce/Sydney,,80788.69912,0.00017453,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Citigroup Inc,,-371099.4042,-0.00080171,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Commonwealth Bank of Australia,,3869722.281,0.00836003,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Cooperatieve Rabobank UA/Australia,,1022881.817,0.0022098,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Credit Union Australia Ltd,,666613.3114,0.00144013,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,DBS Bank Ltd/Australia,,192166.4749,0.00041515,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Defence Bank Ltd,,121310.8969,0.00026208,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Goldman Sachs Group Inc/The,,-2299.354574,-0.00000497,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Heritage and People's Choice Ltd,,61467.0699,0.00013279,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,IMB Ltd,,60948.05519,0.00013167,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,ING Bank Australia Ltd,,81469.08482,0.000176,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,2331774.983,0.0050375,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Macquarie Bank Ltd,,460274.4301,0.00099436,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Mitsubishi UFJ Financial Group Inc,,195290.163,0.0004219,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Mizuho Bank Ltd/Sydney,,211561.4192,0.00045705,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,MUFG Bank Ltd/Sydney,,37483.37962,0.00008098,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,National Australia Bank Ltd,,4204412.629,0.00908309,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,NBN Co Ltd,,36825.27253,0.00007956,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Newcastle Greater Mutual Group Ltd,,81237.70969,0.0001755,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Norfina Ltd,,900403.7897,0.00194521,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Oversea-Chinese Banking Corp Ltd,,57649.94247,0.00012455,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Police & Nurses Ltd,,356339.7177,0.00076983,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Royal Bank of Canada,,440.32992,0.00000095,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Standard Chartered PLC,,172949.8274,0.00037364,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Sumitomo Mitsui Banking Corp/Sydney,,1574212.689,0.00340088,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Suncorp Bank,,480416.1872,0.00103788,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Teachers Mutual Bank Ltd,,252445.8297,0.00054538,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,UBS AG/Australia,,726114.8469,0.00156868,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,UBS Group AG,,-2422.534283,-0.00000523,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,United Overseas Bank Ltd/Sydney,,194879.6533,0.00042101,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,Westpac Banking Corp,,2291658.548,0.00495083,,AUD,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,100812.0484,0.00021779,,BRL,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,121732.443,0.00026299,,CAD,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,195433.8099,0.00042221,,CHF,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,76180.43732,0.00016458,,CNY,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,10770.25207,0.00002327,,CZK,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,18073.12592,0.00003904,,DKK,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,300967.4546,0.0006502,,EUR,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,469390.5255,0.00101406,,GBP,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,135484.0954,0.0002927,,HKD,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,2774.559889,0.00000599,,HUF,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,22004.93925,0.00004754,,IDR,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,45878.77265,0.00009912,,ILS,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,325.171481,0.0000007,,INR,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,248110.0899,0.00053601,,JPY,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,4796.915339,0.00001036,,KRW,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,54467.79654,0.00011767,,KWD,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,39065.22946,0.0000844,,MXN,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,20549.82885,0.0000444,,NOK,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,7769.992616,0.00001679,,NZD,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,27581.20444,0.00005959,,PLN,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,7057.329899,0.00001525,,QAR,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,15694.82144,0.00003391,,SEK,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,59906.92298,0.00012942,,SGD,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,21052.99691,0.00004548,,THB,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,1780.171589,0.00000385,,TRY,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,164891.3216,0.00035623,,TWD,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,3700034.614,0.00799344,,USD,
31/12/2024,Indexed Balanced Growth,Cash,,JPMorgan Chase & Co,,26317.13395,0.00005685,,ZAR,
31/12/2024,Indexed Balanced Growth,Cash Total,,,,31361410.43,0.06775226,,,
31/12/2024,Indexed Balanced Growth,Fixed Income,Externally Managed,Macquarie Asset Management,,92131790.73,0.19903879,,,
31/12/2024,Indexed Balanced Growth,Fixed Income Total,,,,92131790.73,0.19903879,,,
31/12/2024,Indexed Balanced Growth,Listed Equity,,3i Group PLC,1327.1255,95674.60952,0.00020669,,,GB00B1YW4409
31/12/2024,Indexed Balanced Growth,Listed Equity,,3M Co,884.50525,184415.3817,0.00039841,,,US88579Y1010
31/12/2024,Indexed Balanced Growth,Listed Equity,,a2 Milk Co Ltd/The,44902.51348,259536.5279,0.0005607,,,NZATME0002S8
31/12/2024,Indexed Balanced Growth,Listed Equity,,ABB Ltd,2660.132997,232635.1155,0.00050258,,,CH0012221716
31/12/2024,Indexed Balanced Growth,Listed Equity,,Abbott Laboratories,2704.983221,494162.4001,0.00106757,,,US0028241000
31/12/2024,Indexed Balanced Growth,Listed Equity,,AbbVie Inc,2768.214686,794495.2755,0.0017164,,,US00287Y1091
31/12/2024,Indexed Balanced Growth,Listed Equity,,ABIOMED Inc,133.080175,7522.904641,0.00001625,,,US003CVR0169
31/12/2024,Indexed Balanced Growth,Listed Equity,,ABN AMRO Bank NV,461.736739,11498.55355,0.00002484,,,NL0011540547
31/12/2024,Indexed Balanced Growth,Listed Equity,,Absa Group Ltd,2691.013479,43704.8602,0.00009442,,,ZAE000255915
31/12/2024,Indexed Balanced Growth,Listed Equity,,Abu Dhabi Commercial Bank PJSC,14771.16415,67679.8713,0.00014621,,,AEA000201011
31/12/2024,Indexed Balanced Growth,Listed Equity,,Accent Group Ltd,25359.42458,59341.05352,0.0001282,,,AU000000AX19
31/12/2024,Indexed Balanced Growth,Listed Equity,,Accenture PLC,977.146698,555197.343,0.00119943,,,IE00B4BNMY34
31/12/2024,Indexed Balanced Growth,Listed Equity,,Acciona SA,66.907712,12163.53533,0.00002628,,,ES0125220311
31/12/2024,Indexed Balanced Growth,Listed Equity,,Accor SA,349.243553,27475.7623,0.00005936,,,FR0000120404
31/12/2024,Indexed Balanced Growth,Listed Equity,,Accton Technology Corp,735.249584,27999.46587,0.00006049,,,TW0002345006
31/12/2024,Indexed Balanced Growth,Listed Equity,,ACS Actividades de Construccion y Servicios SA,632.314643,51226.11053,0.00011067,,,ES0167050915
31/12/2024,Indexed Balanced Growth,Listed Equity,,Adairs Ltd,16286.74495,43974.21137,0.000095,,,AU000000ADH2
31/12/2024,Indexed Balanced Growth,Listed Equity,,Adecco Group AG,452.913744,18048.58329,0.00003899,,,CH0012138605
31/12/2024,Indexed Balanced Growth,Listed Equity,,adidas AG,249.984859,99003.23879,0.00021388,,,DE000A1EWWW0
31/12/2024,Indexed Balanced Growth,Listed Equity,,Admiral Group PLC,502.175466,26857.40269,0.00005802,,,GB00B02J6398
31/12/2024,Indexed Balanced Growth,Listed Equity,,Adobe Inc,691.134609,496380.0966,0.00107236,,,US00724F1012
31/12/2024,Indexed Balanced Growth,Listed Equity,,Adriatic Metals PLC,17685.91037,68975.05046,0.00014901,,,AU0000004772
31/12/2024,Indexed Balanced Growth,Listed Equity,,Advanced Info Service PCL,3308.62313,44982.38577,0.00009718,,,TH0268010Z11
