Effective Date,Option,Asset Class,Internal/External,Name/kind of investment item,Units,Value (AUD),Weighting,% Ownership / Property Held,Currency,Security Identifier
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,481.767274,0.00000021,,ARS,
31/12/2024,Sustainable Growth,Cash,,Australia Government Bond,,15471762.92,0.00659228,,AUD,
31/12/2024,Sustainable Growth,Cash,,Australia & New Zealand Banking Group Ltd,,13718385.1,0.0058452,,AUD,
31/12/2024,Sustainable Growth,Cash,,Bank of America Corp,,-289936.802,-0.00012354,,AUD,
31/12/2024,Sustainable Growth,Cash,,Bank of Nova Scotia/Australia,,4249969.417,0.00181085,,AUD,
31/12/2024,Sustainable Growth,Cash,,Bank of Queensland Ltd,,634941.557,0.00027054,,AUD,
31/12/2024,Sustainable Growth,Cash,,Barclays Bank PLC,,-960202.9702,-0.00040913,,AUD,
31/12/2024,Sustainable Growth,Cash,,Bendigo & Adelaide Bank Ltd,,5327239.167,0.00226986,,AUD,
31/12/2024,Sustainable Growth,Cash,,Canadian Imperial Bank of Commerce/Sydney,,622788.4727,0.00026536,,AUD,
31/12/2024,Sustainable Growth,Cash,,Citigroup Inc,,59837.67094,0.0000255,,AUD,
31/12/2024,Sustainable Growth,Cash,,Commonwealth Bank of Australia,,29896401.83,0.0127384,,AUD,
31/12/2024,Sustainable Growth,Cash,,Cooperatieve Rabobank UA/Australia,,7885248.949,0.00335979,,AUD,
31/12/2024,Sustainable Growth,Cash,,Credit Union Australia Ltd,,5138826.23,0.00218958,,AUD,
31/12/2024,Sustainable Growth,Cash,,DBS Bank Ltd/Australia,,1492135.449,0.00063578,,AUD,
31/12/2024,Sustainable Growth,Cash,,Defence Bank Ltd,,935168.2722,0.00039846,,AUD,
31/12/2024,Sustainable Growth,Cash,,Goldman Sachs Group Inc/The,,-6456.009563,-0.00000275,,AUD,
31/12/2024,Sustainable Growth,Cash,,Heritage and People's Choice Ltd,,473840.8094,0.0002019,,AUD,
31/12/2024,Sustainable Growth,Cash,,HSBC Holdings PLC,,-40155.26193,-0.00001711,,AUD,
31/12/2024,Sustainable Growth,Cash,,IMB Ltd,,469839.7996,0.00020019,,AUD,
31/12/2024,Sustainable Growth,Cash,,ING Bank Australia Ltd,,628033.4683,0.0002676,,AUD,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,11335438.27,0.00482986,,AUD,
31/12/2024,Sustainable Growth,Cash,,Macquarie Bank Ltd,,3548189.443,0.00151183,,AUD,
31/12/2024,Sustainable Growth,Cash,,Macquarie Group Ltd,,495498.5792,0.00021112,,AUD,
31/12/2024,Sustainable Growth,Cash,,Merrill Lynch & Co,,-5012.623248,-0.00000214,,AUD,
31/12/2024,Sustainable Growth,Cash,,Mitsubishi UFJ Financial Group Inc,,1505463.805,0.00064146,,AUD,
31/12/2024,Sustainable Growth,Cash,,Mizuho Bank Ltd/Sydney,,1630896.581,0.0006949,,AUD,
31/12/2024,Sustainable Growth,Cash,,MUFG Bank Ltd/Sydney,,288953.9873,0.00012312,,AUD,
31/12/2024,Sustainable Growth,Cash,,National Australia Bank Ltd,,32460455.63,0.01383091,,AUD,
31/12/2024,Sustainable Growth,Cash,,NBN Co Ltd,,283880.7344,0.00012096,,AUD,
31/12/2024,Sustainable Growth,Cash,,Newcastle Greater Mutual Group Ltd,,626249.8306,0.00026684,,AUD,
31/12/2024,Sustainable Growth,Cash,,Norfina Ltd,,6949684.798,0.00296116,,AUD,
31/12/2024,Sustainable Growth,Cash,,Oversea-Chinese Banking Corp Ltd,,447640.6347,0.00019073,,AUD,
31/12/2024,Sustainable Growth,Cash,,Police & Nurses Ltd,,2746971.68,0.00117044,,AUD,
31/12/2024,Sustainable Growth,Cash,,Royal Bank of Canada,,62743.41211,0.00002673,,AUD,
31/12/2024,Sustainable Growth,Cash,,Standard Chartered PLC,,1342921.904,0.0005722,,AUD,
31/12/2024,Sustainable Growth,Cash,,Sumitomo Mitsui Banking Corp/Sydney,,12193223.6,0.00519535,,AUD,
31/12/2024,Sustainable Growth,Cash,,Suncorp Bank,,3730338.622,0.00158944,,AUD,
31/12/2024,Sustainable Growth,Cash,,Teachers Mutual Bank Ltd,,1946068.626,0.00082919,,AUD,
31/12/2024,Sustainable Growth,Cash,,UBS AG/Australia,,5597515.017,0.00238502,,AUD,
31/12/2024,Sustainable Growth,Cash,,UBS Group AG,,-18674.96869,-0.00000796,,AUD,
31/12/2024,Sustainable Growth,Cash,,United Overseas Bank Ltd/Sydney,,1510900.61,0.00064377,,AUD,
31/12/2024,Sustainable Growth,Cash,,Westpac Banking Corp,,17721393.8,0.00755082,,AUD,
