Hostplus Superannuation Fund,,,,
HC Conservative Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Conservative Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
ANZ Group Holdings Ltd,AUD,,"29,228,166",1.42%
Bank of America,USD,,"1,761",0.00%
Bank of Queensland,AUD,,"2,553,756",0.12%
Barclays Bank,USD,,"16,461",0.00%
BNP Paribas,AUD,,"2,024",0.00%
BNP Paribas,USD,,"-126,619",-0.01%
BNSC,AUD,,"4,711,654",0.23%
Citigroup Inc,AUD,,"22,938,066",1.11%
Citigroup Inc,BRL,,"34,391",0.00%
Citigroup Inc,CAD,,"442,433",0.02%
Citigroup Inc,CHF,,"449,386",0.02%
Citigroup Inc,CNH,,"71,655",0.00%
Citigroup Inc,DKK,,"32,742",0.00%
Citigroup Inc,EUR,,"2,621,867",0.13%
Citigroup Inc,GBP,,"1,070,334",0.05%
Citigroup Inc,HKD,,"67,827",0.00%
Citigroup Inc,HUF,,0,0.00%
Citigroup Inc,IDR,,"15,723",0.00%
Citigroup Inc,ILS,,173,0.00%
Citigroup Inc,INR,,"4,421",0.00%
Citigroup Inc,JPY,,"794,234",0.04%
Citigroup Inc,KRW,,899,0.00%
Citigroup Inc,MXN,,"1,235",0.00%
Citigroup Inc,MYR,,0,0.00%
Citigroup Inc,NOK,,382,0.00%
Citigroup Inc,NZD,,"5,634",0.00%
Citigroup Inc,PHP,,0,0.00%
Citigroup Inc,PLN,,244,0.00%
Citigroup Inc,SEK,,"4,073",0.00%
Citigroup Inc,SGD,,"59,798",0.00%
Citigroup Inc,TRY,,2,0.00%
Citigroup Inc,TWD,,"22,468",0.00%
Citigroup Inc,USD,,"34,434,744",1.67%
Citigroup Inc,VND,,"1,939",0.00%
Citigroup Inc,ZAR,,"1,575",0.00%
Commonwealth Bank,AUD,,"3,538,736",0.17%
DBS Bank,AUD,,"7,320,424",0.36%
Goldman Sachs & Co,AUD,,"30,070",0.00%
HSBC,AUD,,"1,782",0.00%
JP Morgan Chase,EUR,,0,0.00%
JP Morgan Chase,USD,,"136,103",0.01%
Macquarie Bank,AUD,,"354,914",0.02%
Macquarie Bank,CAD,,"1,075",0.00%
Macquarie Bank,CHF,,-1,0.00%
Macquarie Bank,EUR,,"1,503",0.00%
Macquarie Bank,GBP,,-182,0.00%
Macquarie Bank,HKD,,-40,0.00%
Macquarie Bank,JPY,,754,0.00%
Macquarie Bank,SGD,,0,0.00%
Macquarie Bank,USD,,"8,901",0.00%
Metway Bank,AUD,,"15,450,706",0.75%
Mizuho Financial Group Inc,AUD,,"1,062,593",0.05%
Morgan Stanley & Co,AUD,,"198,043",0.01%
Morgan Stanley & Co,USD,,"10,326",0.00%
NAB,AUD,,"3,119,772",0.15%
National Australia Bank Ltd,AUD,,"7,869,990",0.38%
NBN Co,AUD,,"22,326,029",1.08%
OCBC,AUD,,"13,645,321",0.66%
RANE,AUD,,"13,322,826",0.65%
