Hostplus Superannuation Fund,,,,
HC Defensive Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Defensive Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
ANZ Group Holdings Ltd,AUD,,"3,355,534",6.20%
Bank of Queensland,AUD,,"302,198",0.56%
BNSC,AUD,,"540,921",1.00%
Citigroup Inc,AUD,,"483,494",0.89%
Citigroup Inc,BRL,,209,0.00%
Citigroup Inc,CAD,,"4,562",0.01%
Citigroup Inc,CHF,,"8,131",0.02%
Citigroup Inc,CNH,,421,0.00%
Citigroup Inc,DKK,,336,0.00%
Citigroup Inc,EUR,,"23,762",0.04%
Citigroup Inc,GBP,,"34,079",0.06%
Citigroup Inc,HKD,,653,0.00%
Citigroup Inc,IDR,,120,0.00%
Citigroup Inc,ILS,,2,0.00%
Citigroup Inc,INR,,37,0.00%
Citigroup Inc,JPY,,"8,168",0.02%
Citigroup Inc,KRW,,21,0.00%
Citigroup Inc,MXN,,8,0.00%
Citigroup Inc,NOK,,4,0.00%
Citigroup Inc,NZD,,1,0.00%
Citigroup Inc,PLN,,1,0.00%
Citigroup Inc,SEK,,42,0.00%
Citigroup Inc,SGD,,"3,046",0.01%
Citigroup Inc,TRY,,0,0.00%
Citigroup Inc,TWD,,163,0.00%
Citigroup Inc,USD,,"351,219",0.65%
Citigroup Inc,VND,,10,0.00%
Citigroup Inc,ZAR,,12,0.00%
Commonwealth Bank,AUD,,"409,515",0.76%
DBS Bank,AUD,,"840,420",1.55%
Goldman Sachs & Co,AUD,,301,0.00%
HSBC,AUD,,10,0.00%
JP Morgan Chase,EUR,,0,0.00%
JP Morgan Chase,USD,,"3,121",0.01%
Macquarie Bank,AUD,,"4,708",0.01%
Macquarie Bank,CAD,,11,0.00%
Macquarie Bank,CHF,,0,0.00%
Macquarie Bank,EUR,,15,0.00%
Macquarie Bank,GBP,,-2,0.00%
Macquarie Bank,HKD,,0,0.00%
Macquarie Bank,JPY,,8,0.00%
Macquarie Bank,USD,,94,0.00%
Metway Bank,AUD,,"1,773,815",3.28%
Mizuho Financial Group Inc,AUD,,"121,991",0.23%
Morgan Stanley & Co,AUD,,"1,061",0.00%
NAB,AUD,,"358,165",0.66%
National Australia Bank Ltd,AUD,,"903,513",1.67%
NBN Co,AUD,,"2,563,136",4.73%
OCBC,AUD,,"1,566,549",2.89%
RANE,AUD,,"1,529,525",2.83%
Royal Bank of Canada,AUD,,"3,625,371",6.70%
Standard Chartered,AUD,,831,0.00%
State Street,AUD,,"1,113",0.00%
STCB,AUD,,"601,658",1.11%
Sumit,AUD,,"608,832",1.12%
Sumitomo Mitsui Financial Grou,AUD,,"230,828",0.43%
United Overseas Bank Limited,AUD,,"3,166,308",5.85%
Unity Bank,AUD,,"58,324",0.11%
Westpac Banking Corp,AUD,,"903,337",1.67%
Westpac Banking Corporation,AUD,,"120,221",0.22%
Total,,,"24,509,931",45.27%
Fixed Income,,,,
Investment in non?associated entities;,,,,
