Hostplus Superannuation Fund,,,,
HC Growth - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Growth - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
Bank of America,USD,,"3,609",0.00%
Barclays Bank,USD,,"33,721",0.00%
BNP Paribas,AUD,,"4,146",0.00%
BNP Paribas,USD,,"-259,391",0.00%
Citigroup Inc,AUD,,"71,966,960",1.20%
Citigroup Inc,BRL,,"177,930",0.00%
Citigroup Inc,CAD,,"2,305,871",0.04%
Citigroup Inc,CHF,,"2,173,327",0.04%
Citigroup Inc,CNH,,"370,594",0.01%
Citigroup Inc,DKK,,"170,626",0.00%
Citigroup Inc,EUR,,"9,788,593",0.16%
Citigroup Inc,GBP,,"3,985,738",0.07%
Citigroup Inc,HKD,,"338,223",0.01%
Citigroup Inc,HUF,,0,0.00%
Citigroup Inc,IDR,,"81,426",0.00%
Citigroup Inc,ILS,,903,0.00%
Citigroup Inc,INR,,"22,962",0.00%
Citigroup Inc,JPY,,"4,133,103",0.07%
Citigroup Inc,KRW,,"3,928",0.00%
Citigroup Inc,MXN,,"6,392",0.00%
Citigroup Inc,MYR,,0,0.00%
Citigroup Inc,NOK,,"1,990",0.00%
Citigroup Inc,NZD,,"11,732",0.00%
Citigroup Inc,PHP,,0,0.00%
Citigroup Inc,PLN,,"1,260",0.00%
Citigroup Inc,SEK,,"21,229",0.00%
Citigroup Inc,SGD,,"69,662",0.00%
Citigroup Inc,TRY,,11,0.00%
Citigroup Inc,TWD,,"115,577",0.00%
Citigroup Inc,USD,,"129,512,278",2.16%
Citigroup Inc,VND,,"10,019",0.00%
Citigroup Inc,ZAR,,"8,170",0.00%
Goldman Sachs & Co,AUD,,"161,251",0.00%
HSBC,AUD,,"9,211",0.00%
JP Morgan Chase,USD,,"151,919",0.00%
Macquarie Bank,AUD,,"1,844,038",0.03%
Macquarie Bank,CAD,,"5,601",0.00%
Macquarie Bank,CHF,,-6,0.00%
Macquarie Bank,EUR,,"7,834",0.00%
Macquarie Bank,GBP,,-947,0.00%
Macquarie Bank,HKD,,-206,0.00%
Macquarie Bank,JPY,,"3,932",0.00%
Macquarie Bank,SGD,,1,0.00%
Macquarie Bank,USD,,"46,391",0.00%
Morgan Stanley & Co,AUD,,"1,023,352",0.02%
Morgan Stanley & Co,USD,,"21,153",0.00%
Royal Bank of Canada,AUD,,"92,104",0.00%
Standard Chartered,AUD,,"801,961",0.01%
State Street,AUD,,"1,073,924",0.02%
Westpac Banking Corporation,AUD,,"5,793",0.00%
Total,,,"230,307,893",3.84%
Fixed Income,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
Apollo Global Management,,,"49,608,783",0.83%
Barings Australia Pty Ltd,,,"74,869,887",1.25%
Cross Ocean Partners,,,"34,084,098",0.57%
IFM Investors Pty Ltd ,,,"107,092",0.00%
