Hostplus Superannuation Fund,,,,
HC High Growth Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC High Growth Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
Citigroup Inc,AUD,,"11,820,720",1.12%
Citigroup Inc,BRL,,"37,940",0.00%
Citigroup Inc,CAD,,"488,234",0.05%
Citigroup Inc,CHF,,"460,410",0.04%
Citigroup Inc,CNH,,"79,048",0.01%
Citigroup Inc,DKK,,"36,151",0.00%
Citigroup Inc,EUR,,"1,602,906",0.15%
Citigroup Inc,GBP,,"787,516",0.07%
Citigroup Inc,HKD,,"72,177",0.01%
Citigroup Inc,HUF,,0,0.00%
Citigroup Inc,IDR,,"17,322",0.00%
Citigroup Inc,ILS,,193,0.00%
Citigroup Inc,INR,,"4,878",0.00%
Citigroup Inc,JPY,,"874,274",0.08%
Citigroup Inc,KRW,,838,0.00%
Citigroup Inc,MXN,,"1,362",0.00%
Citigroup Inc,MYR,,0,0.00%
Citigroup Inc,NOK,,424,0.00%
Citigroup Inc,NZD,,67,0.00%
Citigroup Inc,PHP,,0,0.00%
Citigroup Inc,PLN,,269,0.00%
Citigroup Inc,SEK,,"4,496",0.00%
Citigroup Inc,SGD,,"1,623",0.00%
Citigroup Inc,TRY,,2,0.00%
Citigroup Inc,TWD,,"24,626",0.00%
Citigroup Inc,USD,,"22,905,337",2.17%
Citigroup Inc,VND,,"2,139",0.00%
Citigroup Inc,ZAR,,"1,737",0.00%
Goldman Sachs & Co,AUD,,"34,738",0.00%
HSBC,AUD,,"1,966",0.00%
Macquarie Bank,AUD,,"397,268",0.04%
Macquarie Bank,CAD,,"1,195",0.00%
Macquarie Bank,CHF,,-1,0.00%
Macquarie Bank,EUR,,"1,654",0.00%
Macquarie Bank,GBP,,-211,0.00%
Macquarie Bank,HKD,,-44,0.00%
Macquarie Bank,JPY,,859,0.00%
Macquarie Bank,SGD,,0,0.00%
Macquarie Bank,USD,,"9,931",0.00%
Morgan Stanley & Co,AUD,,"218,472",0.02%
Royal Bank of Canada,AUD,,"19,842",0.00%
Standard Chartered,AUD,,"171,208",0.02%
State Street,AUD,,"229,268",0.02%
Westpac Banking Corporation,AUD,,"1,237",0.00%
Total,,,"40,312,071",3.82%
Listed Equity,,,,
Name/kind of investment item,Security Identifier,Units held,Value (AUD),Weighting (%)
3I GROUP PLC ORD,B1YW440,"13,218","952,891",0.09%
3M CO COM,2595708,124,"25,837",0.00%
3PEAK INC-A,CNE1000042T2 (ISIN),335,"6,809",0.00%
A P MOLLER - MAERSK A/S-CL A 'A'DKK1000,4253059,1,"1,960",0.00%
A2 MILK CO LTD ATM,BWSRTS7,"192,064","1,110,129",0.11%
AAC TECHNOLOGIES HOLDINGS IN,B85LKS1,"46,894","365,631",0.03%
AAK AB,BF2FPV3,"4,382","202,160",0.02%
ABACUS GROUP,BQV4PB8,"11,308","12,439",0.00%
ABACUS STORAGE KING,BQYLGZ7,"6,373","7,170",0.00%
