Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
Cash,-,PACCAR FINANCIAL PTY. LTD.,9186196.0,0.53,-,AUD,,Rest,Balanced,0.5340289884690063,,,,
Cash,-,NBN CO. LTD.,7332234.0,0.42,-,AUD,,Rest,Balanced,0.4262510299407998,,,,
Cash,-,OVERSEAS-CHINESE BANKING CORP. LTD.,6960862.0,0.4,-,AUD,,Rest,Balanced,0.4046617438526615,,,,
Cash,-,TOYOTA FINANCE AUSTRALIA LIMITED,6750966.0,0.39,-,AUD,,Rest,Balanced,0.3924596801732352,,,,
Cash,-,STANDARD CHARTERED PLC,5725980.0,0.33,-,AUD,,Rest,Balanced,0.3328732924263493,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,4668817.0,0.27,-,USD,,Rest,Balanced,0.2714163316194103,,,,
Cash,-,BANK OF CHINA LTD.,4466021.0,0.26,-,AUD,,Rest,Balanced,0.2596270183121871,,,,
Cash,-,SUMITOMO MITSUI BANKING CORP.,4319570.0,0.25,-,AUD,,Rest,Balanced,0.2511132570784539,,,,
Cash,-,MIZUHO BANK LTD.,4094774.0,0.24,-,AUD,,Rest,Balanced,0.2380449989559537,,,,
Cash,-,UNITED OVERSEAS BANK LTD.,4077306.0,0.24,-,AUD,,Rest,Balanced,0.2370295167726238,,,,
Cash,-,SCENTRE GROUP LIMITED,2464004.0,0.14,-,AUD,,Rest,Balanced,0.1432420518464427,,,,
Cash,-,NATIONAL AUSTRALIA BANK LTD.,1970762.0,0.11,-,AUD,,Rest,Balanced,0.1145679928202224,,,,
Cash,-,STOCKLAND TRUST MANAGEMENT LTD,1229257.0,0.07,-,AUD,,Rest,Balanced,0.0714614484905879,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,404333.0,0.02,-,EUR,,Rest,Balanced,0.0235054360906994,,,,
Cash,-,BNP PARIBAS,373040.0,0.02,-,USD,,Rest,Balanced,0.0216862533586784,,,,
Cash,-,"CITIGROUP, INC.",248008.0,0.01,-,USD,,Rest,Balanced,0.0144176611703278,,,,
Cash,-,BARCLAYS BANK PLC.,176620.0,0.01,-,USD,,Rest,Balanced,0.0102676015124645,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,132393.0,0.01,-,GBP,,Rest,Balanced,0.0076965154967711,,,,
Cash,-,"DOMINION ENERGY SOUTH CAROLINA, INC.",131904.0,0.01,-,USD,,Rest,Balanced,0.0076680880415588,,,,
Cash,-,BANK OF NEW YORK MELLON CORP.,92520.0,0.01,-,USD,,Rest,Balanced,0.0053785442867921,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,84119.0,0.0,-,CAD,,Rest,Balanced,0.004890161768922,,,,
Cash,-,TAMPA ELECTRIC CO,79106.0,0.0,-,USD,,Rest,Balanced,0.0045987367526045,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,50514.0,0.0,-,NZD,,Rest,Balanced,0.0029365735635864,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,47497.0,0.0,-,JPY,,Rest,Balanced,0.0027611837223277,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,31322.0,0.0,-,MXN,,Rest,Balanced,0.0018208686138229,,,,
Cash,-,MORGAN STANLEY,28213.0,0.0,-,USD,,Rest,Balanced,0.0016401304578822,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,24966.0,0.0,-,CNY,,Rest,Balanced,0.0014513698299184,,,,
Cash,-,"GOLDMAN SACHS GROUP, INC.",18490.0,0.0,-,USD,,Rest,Balanced,0.001074894983385,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,10991.0,0.0,-,IDR,,Rest,Balanced,0.0006389492029413,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,10224.0,0.0,-,DKK,,Rest,Balanced,0.0005943605359723,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,10155.0,0.0,-,HUF,,Rest,Balanced,0.0005903492999608,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,8367.0,0.0,-,SGD,,Rest,Balanced,0.0004864059667919,,,,
Cash,-,JPMORGAN CHASE & CO.,7920.0,0.0,-,USD,,Rest,Balanced,0.0004604201334997,,,,
