Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
Cash,-,STATE STREET BANK AND TRUST COMPANY,360276840.0,0.47,-,AUD,,Rest,Growth,0.474860695430554,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,330697749.0,0.43,-,USD,,Rest,Growth,0.4358741546291423,,,,
Cash,-,PACCAR FINANCIAL PTY. LTD.,182281825.0,0.24,-,AUD,,Rest,Growth,0.2402554496254895,,,,
Cash,-,NBN CO. LTD.,145493637.0,0.19,-,AUD,,Rest,Growth,0.1917670024155329,,,,
Cash,-,OVERSEAS-CHINESE BANKING CORP. LTD.,138124482.0,0.18,-,AUD,,Rest,Growth,0.1820541325345949,,,,
Cash,-,TOYOTA FINANCE AUSTRALIA LIMITED,133959525.0,0.17,-,AUD,,Rest,Growth,0.1765645363189226,,,,
Cash,-,STANDARD CHARTERED PLC,113620704.0,0.15,-,AUD,,Rest,Growth,0.1497570771319886,,,,
Cash,-,BANK OF CHINA LTD.,88619309.0,0.12,-,AUD,,Rest,Growth,0.116804140672254,,,,
Cash,-,SUMITOMO MITSUI BANKING CORP.,85713321.0,0.11,-,AUD,,Rest,Growth,0.1129739208818482,,,,
Cash,-,MIZUHO BANK LTD.,81252671.0,0.11,-,AUD,,Rest,Growth,0.1070945883078413,,,,
Cash,-,UNITED OVERSEAS BANK LTD.,80906017.0,0.11,-,AUD,,Rest,Growth,0.1066376831137306,,,,
Cash,-,NATIONAL AUSTRALIA BANK LTD.,64678256.0,0.08,-,AUD,,Rest,Growth,0.0852487815297686,,,,
Cash,-,SCENTRE GROUP LIMITED,48893280.0,0.06,-,AUD,,Rest,Growth,0.0644434900191774,,,,
Cash,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,38388028.0,0.05,-,AUD,,Rest,Growth,0.0505971065813932,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,29212537.0,0.04,-,EUR,,Rest,Growth,0.0385034065334612,,,,
Cash,-,STOCKLAND TRUST MANAGEMENT LTD,24392193.0,0.03,-,AUD,,Rest,Growth,0.0321499814727371,,,,
Cash,-,BNP PARIBAS,20471737.0,0.03,-,USD,,Rest,Growth,0.0269826483114801,,,,
