Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
Cash,-,STATE STREET BANK AND TRUST COMPANY,36669136.0,0.73,-,AUD,,Rest,High Growth,0.7297040758312445,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,19082231.0,0.38,-,USD,,Rest,High Growth,0.3797302924359419,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,737828.0,0.01,-,EUR,,Rest,High Growth,0.0146825411665662,,,,
Cash,-,BNP PARIBAS,719217.0,0.01,-,USD,,Rest,High Growth,0.014312188220282,,,,
Cash,-,PACCAR FINANCIAL PTY. LTD.,584048.0,0.01,-,AUD,,Rest,High Growth,0.0116223683612585,,,,
Cash,-,NBN CO. LTD.,466175.0,0.01,-,AUD,,Rest,High Growth,0.0092767333691917,,,,
Cash,-,OVERSEAS-CHINESE BANKING CORP. LTD.,442564.0,0.01,-,AUD,,Rest,High Growth,0.0088068820224228,,,,
Cash,-,TOYOTA FINANCE AUSTRALIA LIMITED,429219.0,0.01,-,AUD,,Rest,High Growth,0.0085413207915291,,,,
Cash,-,STANDARD CHARTERED PLC,364052.0,0.01,-,AUD,,Rest,High Growth,0.0072445183386517,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,350781.0,0.01,-,CAD,,Rest,High Growth,0.0069804296840852,,,,
Cash,-,BARCLAYS BANK PLC.,340521.0,0.01,-,USD,,Rest,High Growth,0.0067762589662906,,,,
Cash,-,BANK OF CHINA LTD.,283944.0,0.01,-,AUD,,Rest,High Growth,0.0056503947654459,,,,
Cash,-,SUMITOMO MITSUI BANKING CORP.,274634.0,0.01,-,AUD,,Rest,High Growth,0.0054651287437434,,,,
Cash,-,MIZUHO BANK LTD.,260340.0,0.01,-,AUD,,Rest,High Growth,0.0051806827164377,,,,
Cash,-,UNITED OVERSEAS BANK LTD.,259230.0,0.01,-,AUD,,Rest,High Growth,0.0051585940715301,,,,
Cash,-,"DOMINION ENERGY SOUTH CAROLINA, INC.",254309.0,0.01,-,USD,,Rest,High Growth,0.0050606677457731,,,,
Cash,-,"CITIGROUP, INC.",248750.0,0.0,-,USD,,Rest,High Growth,0.0049500454241142,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,233357.0,0.0,-,GBP,,Rest,High Growth,0.0046437296483819,,,,
Cash,-,BANK OF NEW YORK MELLON CORP.,178378.0,0.0,-,USD,,Rest,High Growth,0.0035496651363322,,,,
Cash,-,SCENTRE GROUP LIMITED,156658.0,0.0,-,AUD,,Rest,High Growth,0.0031174440846266,,,,
Cash,-,TAMPA ELECTRIC CO,152516.0,0.0,-,USD,,Rest,High Growth,0.0030350196096651,,,,
Cash,-,NATIONAL AUSTRALIA BANK LTD.,125298.0,0.0,-,AUD,,Rest,High Growth,0.0024933901167865,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,87293.0,0.0,-,NZD,,Rest,High Growth,0.0017371027747023,,,,
