Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
Cash,-,PACCAR FINANCIAL PTY. LTD.,683345.0,0.24,-,AUD,,Rest,Sustainable Growth,0.248266496973479,,,,
Cash,-,NBN CO. LTD.,545433.0,0.19,-,AUD,,Rest,Sustainable Growth,0.1981616024756683,,,,
Cash,-,OVERSEAS-CHINESE BANKING CORP. LTD.,517806.0,0.18,-,AUD,,Rest,Sustainable Growth,0.1881244199223661,,,,
Cash,-,TOYOTA FINANCE AUSTRALIA LIMITED,502193.0,0.18,-,AUD,,Rest,Sustainable Growth,0.182452051181471,,,,
Cash,-,STANDARD CHARTERED PLC,425947.0,0.15,-,AUD,,Rest,Sustainable Growth,0.1547510694983682,,,,
Cash,-,BANK OF CHINA LTD.,332221.0,0.12,-,AUD,,Rest,Sustainable Growth,0.1206994181431431,,,,
Cash,-,SUMITOMO MITSUI BANKING CORP.,321325.0,0.11,-,AUD,,Rest,Sustainable Growth,0.116740785606104,,,,
Cash,-,MIZUHO BANK LTD.,304604.0,0.11,-,AUD,,Rest,Sustainable Growth,0.1106658686960607,,,,
Cash,-,UNITED OVERSEAS BANK LTD.,303304.0,0.11,-,AUD,,Rest,Sustainable Growth,0.1101935648874932,,,,
Cash,-,SCENTRE GROUP LIMITED,183293.0,0.06,-,AUD,,Rest,Sustainable Growth,0.0665922938336563,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,174237.0,0.06,-,USD,,Rest,Sustainable Growth,0.0633021528410511,,,,
Cash,-,NATIONAL AUSTRALIA BANK LTD.,146602.0,0.05,-,AUD,,Rest,Sustainable Growth,0.053262063802773,,,,
Cash,-,STOCKLAND TRUST MANAGEMENT LTD,91442.0,0.03,-,AUD,,Rest,Sustainable Growth,0.0332218498946342,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,42842.0,0.02,-,JPY,,Rest,Sustainable Growth,0.0155649536666512,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,14268.0,0.01,-,CAD,,Rest,Sustainable Growth,0.0051837159543387,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,6242.0,0.0,-,EUR,,Rest,Sustainable Growth,0.0022677849023676,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,4692.0,0.0,-,HKD,,Rest,Sustainable Growth,0.0017046534383065,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,4619.0,0.0,-,GBP,,Rest,Sustainable Growth,0.0016781317629023,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,3689.0,0.0,-,CNY,,Rest,Sustainable Growth,0.0013402528844656,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,2473.0,0.0,-,SGD,,Rest,Sustainable Growth,0.000898467168144,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,2084.0,0.0,-,NZD,,Rest,Sustainable Growth,0.0007571393361958,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,1856.0,0.0,-,MXN,,Rest,Sustainable Growth,0.0006743045143855,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,1451.0,0.0,-,NOK,,Rest,Sustainable Growth,0.0005271637124856,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,449.0,0.0,-,CHF,,Rest,Sustainable Growth,0.0001631264692667,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,16.0,0.0,-,SEK,,Rest,Sustainable Growth,5.812969951599359e-06,,,,
Cash,-,WESTPAC BANKING CORP.,12.0,0.0,-,AUD,,Rest,Sustainable Growth,4.35972746369952e-06,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,8.0,0.0,-,DKK,,Rest,Sustainable Growth,2.906484975799679e-06,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,8.0,0.0,-,ILS,,Rest,Sustainable Growth,2.906484975799679e-06,,,,
Cash,-,MEMBERS EQUITY BANK LTD,6.0,0.0,-,AUD,,Rest,Sustainable Growth,2.17986373184976e-06,,,,
Cash,-,COMMONWEALTH BANK OF AUSTRALIA LTD.,2.0,0.0,-,AUD,,Rest,Sustainable Growth,7.266212439499199e-07,,,,
Cash,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,1.0,0.0,-,AUD,,Rest,Sustainable Growth,3.6331062197495993e-07,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,448329.0,-0.16,-,AUD,,Rest,Sustainable Growth,0.1628826878394118,,,,
Fixed Income,Internally,NATIONAL AUSTRALIA BANK LTD.,1407262.0,0.5,-,-,,Rest,Sustainable Growth,0.5112732325017262,,,,
Fixed Income,Internally,WESTPAC BANKING CORP.,1231720.0,0.44,-,-,,Rest,Sustainable Growth,0.4474969592989977,,,,
Fixed Income,Internally,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,1084945.0,0.38,-,-,,Rest,Sustainable Growth,0.3941720427586229,,,,
Fixed Income,Internally,BENDIGO AND ADELAIDE BANK LTD.,1045766.0,0.37,-,-,,Rest,Sustainable Growth,0.379937895900266,,,,
Fixed Income,Internally,BANK OF TOKYO-MITSUBISHI UFJ LTD.,852804.0,0.3,-,-,,Rest,Sustainable Growth,0.3098327516627337,,,,
Fixed Income,Internally,OVERSEAS-CHINESE BANKING CORP. LTD.,696339.0,0.25,-,-,,Rest,Sustainable Growth,0.2529873551954216,,,,
